 # Cycle    Energy/N    Magnetization/N
        1170  -1.51999998     -0.860000014    
        1172  -1.39999998     -0.720000029    
        1174  -1.39999998     -0.699999988    
        1176  -1.51999998     -0.699999988    
        1178  -1.27999997     -0.540000021    
        1180  -1.27999997     -0.479999989    
        1182  -1.55999994     -0.759999990    
        1184  -1.48000002     -0.839999974    
        1186  -1.84000003     -0.959999979    
        1188  -2.00000000      -1.00000000    
        1190  -2.00000000      -1.00000000    
        1192  -1.75999999     -0.920000017    
        1194  -1.72000003     -0.920000017    
        1196  -1.67999995     -0.920000017    
        1198  -2.00000000      -1.00000000    
        1200  -1.91999996     -0.980000019    
        1202  -1.75999999     -0.939999998    
        1204  -1.72000003     -0.920000017    
        1206  -1.79999995     -0.939999998    
        1208  -1.79999995     -0.939999998    
        1210  -1.51999998     -0.819999993    
        1212  -1.91999996     -0.980000019    
        1214  -1.75999999     -0.920000017    
        1216  -1.51999998     -0.800000012    
        1218  -1.51999998     -0.800000012    
        1220  -1.75999999     -0.860000014    
        1222  -1.60000002     -0.819999993    
        1224  -1.75999999     -0.939999998    
        1226  -1.91999996     -0.980000019    
        1228  -1.75999999     -0.939999998    
        1230  -1.39999998     -0.740000010    
        1232  -1.12000000     -0.660000026    
        1234  -1.15999997     -0.600000024    
        1236  -1.27999997     -0.600000024    
        1238  -1.24000001     -0.540000021    
        1240  -1.44000006     -0.740000010    
        1242  -1.51999998     -0.800000012    
        1244  -1.48000002     -0.759999990    
        1246  -1.32000005     -0.779999971    
        1248  -1.51999998     -0.839999974    
        1250  -1.67999995     -0.879999995    
        1252  -1.67999995     -0.899999976    
        1254  -1.63999999     -0.899999976    
        1256  -1.60000002     -0.879999995    
        1258  -1.63999999     -0.899999976    
        1260  -1.84000003     -0.959999979    
        1262  -1.63999999     -0.879999995    
        1264  -1.84000003     -0.959999979    
        1266  -1.88000000     -0.959999979    
        1268  -1.91999996     -0.980000019    
        1270  -2.00000000      -1.00000000    
        1272  -1.91999996     -0.980000019    
        1274  -1.75999999     -0.939999998    
        1276  -1.60000002     -0.879999995    
        1278  -1.84000003     -0.959999979    
        1280  -1.72000003     -0.920000017    
        1282  -1.88000000     -0.959999979    
        1284  -1.84000003     -0.959999979    
        1286  -1.79999995     -0.939999998    
        1288  -1.79999995     -0.920000017    
        1290  -1.60000002     -0.839999974    
        1292  -1.88000000     -0.959999979    
        1294  -1.72000003     -0.920000017    
        1296  -1.67999995     -0.920000017    
        1298  -1.84000003     -0.959999979    
        1300  -1.60000002     -0.860000014    
        1302  -1.63999999     -0.860000014    
        1304  -1.79999995     -0.879999995    
        1306  -1.79999995     -0.939999998    
        1308  -1.88000000     -0.959999979    
        1310  -1.75999999     -0.939999998    
        1312  -1.75999999     -0.939999998    
        1314  -1.60000002     -0.860000014    
        1316  -1.91999996     -0.980000019    
        1318  -1.79999995     -0.920000017    
        1320  -1.63999999     -0.879999995    
        1322  -1.55999994     -0.879999995    
        1324  -1.84000003     -0.959999979    
        1326  -1.79999995     -0.920000017    
        1328  -1.60000002     -0.860000014    
        1330  -1.36000001     -0.639999986    
        1332  -1.63999999     -0.879999995    
        1334  -1.63999999     -0.899999976    
        1336  -1.44000006     -0.779999971    
        1338  -1.63999999     -0.800000012    
        1340  -1.36000001     -0.560000002    
        1342  -1.27999997     -0.600000024    
        1344  -1.39999998     -0.740000010    
        1346  -1.51999998     -0.680000007    
        1348  -1.88000000     -0.959999979    
        1350  -1.67999995     -0.899999976    
        1352  -1.88000000     -0.959999979    
        1354  -1.84000003     -0.959999979    
        1356  -1.63999999     -0.899999976    
        1358  -1.91999996     -0.980000019    
        1360  -1.88000000     -0.959999979    
        1362  -1.67999995     -0.920000017    
        1364  -1.72000003     -0.920000017    
        1366  -1.79999995     -0.939999998    
        1368  -1.72000003     -0.920000017    
        1370  -1.72000003     -0.899999976    
        1372  -1.60000002     -0.879999995    
        1374  -1.79999995     -0.939999998    
        1376  -1.75999999     -0.939999998    
        1378  -1.72000003     -0.879999995    
        1380  -1.36000001     -0.779999971    
        1382  -1.39999998     -0.819999993    
        1384  -1.60000002     -0.819999993    
        1386  -1.24000001     -0.699999988    
        1388  -1.63999999     -0.860000014    
        1390  -1.75999999     -0.939999998    
        1392  -1.79999995     -0.939999998    
        1394  -1.67999995     -0.920000017    
        1396  -1.75999999     -0.939999998    
        1398  -2.00000000      -1.00000000    
        1400  -1.79999995     -0.939999998    
        1402  -1.75999999     -0.939999998    
        1404  -1.67999995     -0.920000017    
        1406  -1.75999999     -0.939999998    
        1408  -1.60000002     -0.879999995    
        1410  -1.75999999     -0.939999998    
        1412  -1.63999999     -0.879999995    
        1414  -1.32000005     -0.759999990    
        1416  -1.44000006     -0.759999990    
        1418  -1.39999998     -0.800000012    
        1420  -1.39999998     -0.759999990    
        1422  -1.39999998     -0.639999986    
        1424  -1.36000001     -0.699999988    
        1426  -1.75999999     -0.939999998    
        1428  -1.75999999     -0.939999998    
        1430  -1.63999999     -0.879999995    
        1432  -1.55999994     -0.800000012    
        1434  -1.51999998     -0.839999974    
        1436  -1.67999995     -0.899999976    
        1438  -1.67999995     -0.920000017    
        1440  -1.75999999     -0.939999998    
        1442  -1.63999999     -0.899999976    
        1444  -1.67999995     -0.920000017    
        1446  -1.72000003     -0.899999976    
        1448  -1.84000003     -0.939999998    
        1450  -1.75999999     -0.939999998    
        1452  -1.84000003     -0.959999979    
        1454  -1.72000003     -0.920000017    
        1456  -1.67999995     -0.899999976    
        1458  -1.84000003     -0.939999998    
        1460  -1.75999999     -0.920000017    
        1462  -1.72000003     -0.920000017    
        1464  -1.60000002     -0.879999995    
        1466  -1.63999999     -0.800000012    
        1468  -1.44000006     -0.660000026    
        1470  -1.60000002     -0.740000010    
        1472  -1.63999999     -0.899999976    
        1474  -1.32000005     -0.740000010    
        1476  -1.55999994     -0.800000012    
        1478  -1.91999996     -0.980000019    
        1480  -1.67999995     -0.899999976    
        1482  -1.75999999     -0.939999998    
        1484  -1.55999994     -0.819999993    
        1486  -1.36000001     -0.800000012    
        1488  -1.67999995     -0.860000014    
        1490  -1.75999999     -0.920000017    
        1492  -1.79999995     -0.939999998    
        1494  -1.67999995     -0.920000017    
        1496  -1.84000003     -0.939999998    
        1498  -1.72000003     -0.920000017    
        1500  -1.84000003     -0.959999979    
        1502  -1.55999994     -0.860000014    
        1504  -1.48000002     -0.860000014    
        1506  -1.51999998     -0.839999974    
        1508  -1.75999999     -0.939999998    
        1510  -1.88000000     -0.959999979    
        1512  -1.72000003     -0.920000017    
        1514  -1.60000002     -0.879999995    
        1516  -1.84000003     -0.959999979    
        1518  -1.91999996     -0.980000019    
