 # Cycle    Energy/N    Magnetization/N
           2 -0.879999995      0.119999997    
         562  -2.00000000       1.00000000    
         564  -1.60000002      0.879999995    
         566  -1.63999999      0.860000014    
         568  -1.91999996      0.980000019    
         570  -1.75999999      0.939999998    
         572  -1.88000000      0.959999979    
         574  -1.91999996      0.980000019    
         576  -1.91999996      0.980000019    
         578  -2.00000000       1.00000000    
         580  -1.91999996      0.980000019    
         582  -1.91999996      0.980000019    
         584  -2.00000000       1.00000000    
         586  -1.79999995      0.939999998    
         588  -2.00000000       1.00000000    
         590  -1.91999996      0.980000019    
         592  -1.84000003      0.959999979    
         594  -2.00000000       1.00000000    
         596  -2.00000000       1.00000000    
         598  -2.00000000       1.00000000    
         600  -1.88000000      0.959999979    
         602  -1.91999996      0.980000019    
         604  -2.00000000       1.00000000    
         606  -2.00000000       1.00000000    
         608  -2.00000000       1.00000000    
         610  -2.00000000       1.00000000    
         612  -1.84000003      0.959999979    
         614  -2.00000000       1.00000000    
         616  -1.84000003      0.959999979    
         618  -2.00000000       1.00000000    
         620  -1.91999996      0.980000019    
         622  -2.00000000       1.00000000    
         624  -2.00000000       1.00000000    
         626  -1.88000000      0.959999979    
         628  -1.91999996      0.980000019    
         630  -2.00000000       1.00000000    
         632  -1.67999995      0.879999995    
         634  -1.79999995      0.939999998    
         636  -1.84000003      0.939999998    
         638  -1.63999999      0.879999995    
         640  -1.72000003      0.920000017    
         642  -1.84000003      0.939999998    
         644  -1.91999996      0.980000019    
         646  -1.63999999      0.879999995    
         648  -1.84000003      0.939999998    
         650  -1.84000003      0.959999979    
         652  -2.00000000       1.00000000    
         654  -2.00000000       1.00000000    
         656  -1.91999996      0.980000019    
         658  -2.00000000       1.00000000    
         660  -2.00000000       1.00000000    
         662  -1.67999995      0.899999976    
         664  -1.72000003      0.920000017    
         666  -1.79999995      0.939999998    
         668  -1.88000000      0.959999979    
         670  -1.91999996      0.980000019    
         672  -1.91999996      0.980000019    
         674  -2.00000000       1.00000000    
         676  -1.91999996      0.980000019    
         678  -1.84000003      0.939999998    
         680  -1.75999999      0.920000017    
         682  -1.91999996      0.980000019    
         684  -1.91999996      0.980000019    
         686  -1.84000003      0.959999979    
         688  -1.84000003      0.959999979    
         690  -1.84000003      0.959999979    
         692  -2.00000000       1.00000000    
         694  -2.00000000       1.00000000    
         696  -1.91999996      0.980000019    
         698  -2.00000000       1.00000000    
         700  -1.91999996      0.980000019    
         702  -1.91999996      0.980000019    
         704  -1.91999996      0.980000019    
         706  -1.88000000      0.959999979    
         708  -1.91999996      0.980000019    
         710  -1.91999996      0.980000019    
         712  -1.91999996      0.980000019    
         714  -1.91999996      0.980000019    
         716  -1.91999996      0.980000019    
         718  -1.84000003      0.959999979    
         720  -2.00000000       1.00000000    
         722  -1.91999996      0.980000019    
         724  -2.00000000       1.00000000    
         726  -1.91999996      0.980000019    
         728  -1.79999995      0.899999976    
         730  -2.00000000       1.00000000    
         732  -1.84000003      0.959999979    
         734  -1.91999996      0.980000019    
         736  -1.91999996      0.980000019    
         738  -1.79999995      0.939999998    
         740  -1.84000003      0.959999979    
         742  -2.00000000       1.00000000    
         744  -1.91999996      0.980000019    
         746  -1.91999996      0.980000019    
         748  -2.00000000       1.00000000    
         750  -1.91999996      0.980000019    
         752  -2.00000000       1.00000000    
         754  -2.00000000       1.00000000    
         756  -2.00000000       1.00000000    
         758  -1.91999996      0.980000019    
         760  -1.91999996      0.980000019    
         762  -1.91999996      0.980000019    
         764  -2.00000000       1.00000000    
         766  -1.91999996      0.980000019    
         768  -1.88000000      0.959999979    
         770  -1.91999996      0.980000019    
         772  -2.00000000       1.00000000    
         774  -1.91999996      0.980000019    
         776  -1.84000003      0.959999979    
         778  -1.75999999      0.920000017    
         780  -1.84000003      0.920000017    
         782  -1.79999995      0.899999976    
         784  -1.91999996      0.980000019    
         786  -2.00000000       1.00000000    
         788  -1.91999996      0.980000019    
         790  -2.00000000       1.00000000    
         792  -1.91999996      0.980000019    
         794  -1.84000003      0.959999979    
         796  -1.79999995      0.939999998    
         798  -1.79999995      0.939999998    
         800  -1.84000003      0.939999998    
         802  -1.84000003      0.939999998    
         804  -2.00000000       1.00000000    
         806  -1.91999996      0.980000019    
         808  -1.84000003      0.939999998    
         810  -1.84000003      0.959999979    
         812  -1.84000003      0.959999979    
         814  -2.00000000       1.00000000    
         816  -1.84000003      0.959999979    
         818  -1.84000003      0.939999998    
         820  -1.75999999      0.939999998    
         822  -1.75999999      0.899999976    
         824  -1.84000003      0.959999979    
         826  -1.84000003      0.959999979    
         828  -2.00000000       1.00000000    
         830  -1.75999999      0.939999998    
         832  -1.63999999      0.879999995    
         834  -1.91999996      0.980000019    
         836  -1.88000000      0.959999979    
         838  -1.75999999      0.939999998    
         840  -1.88000000      0.959999979    
         842  -2.00000000       1.00000000    
         844  -1.91999996      0.980000019    
         846  -2.00000000       1.00000000    
         848  -2.00000000       1.00000000    
         850  -2.00000000       1.00000000    
         852  -1.91999996      0.980000019    
         854  -1.91999996      0.980000019    
         856  -1.91999996      0.980000019    
         858  -1.91999996      0.980000019    
         860  -1.75999999      0.920000017    
         862  -2.00000000       1.00000000    
         864  -1.91999996      0.980000019    
         866  -1.91999996      0.980000019    
         868  -1.91999996      0.980000019    
         870  -1.84000003      0.959999979    
         872  -1.91999996      0.980000019    
         874  -1.84000003      0.959999979    
         876  -2.00000000       1.00000000    
         878  -2.00000000       1.00000000    
         880  -1.72000003      0.899999976    
         882  -1.84000003      0.959999979    
         884  -2.00000000       1.00000000    
         886  -2.00000000       1.00000000    
         888  -1.75999999      0.920000017    
         890  -1.91999996      0.980000019    
         892  -2.00000000       1.00000000    
         894  -2.00000000       1.00000000    
         896  -2.00000000       1.00000000    
         898  -1.91999996      0.980000019    
         900  -1.91999996      0.980000019    
         902  -1.91999996      0.980000019    
         904  -2.00000000       1.00000000    
         906  -2.00000000       1.00000000    
         908  -1.79999995      0.939999998    
         910  -1.91999996      0.980000019    
         912  -1.91999996      0.980000019    
         914  -1.91999996      0.980000019    
         916  -1.72000003      0.920000017    
         918  -2.00000000       1.00000000    
