 # Cycle    Energy/N    Magnetization/N
           2 -0.848888874       2.88888887E-02
         958  -1.67555559      0.877777755    
         960  -1.77333331      0.931111097    
         962  -1.67555559      0.888888896    
         964  -1.77333331      0.933333337    
         966  -1.79999995      0.924444437    
         968  -1.71111107      0.899999976    
         970  -1.71555555      0.913333356    
         972  -1.70222223      0.911111116    
         974  -1.62222219      0.877777755    
         976  -1.60888886      0.855555534    
         978  -1.65777779      0.888888896    
         980  -1.66666663      0.875555575    
         982  -1.67555559      0.895555556    
         984  -1.71111107      0.897777796    
         986  -1.70666671      0.899999976    
         988  -1.71111107      0.906666696    
         990  -1.83555555      0.939999998    
         992  -1.83555555      0.948888898    
         994  -1.76444447      0.933333337    
         996  -1.76444447      0.920000017    
         998  -1.70666671      0.891111135    
        1000  -1.70666671      0.895555556    
        1002  -1.66666663      0.888888896    
        1004  -1.55999994      0.839999974    
        1006  -1.63111115      0.877777755    
        1008  -1.70666671      0.886666656    
        1010  -1.66666663      0.860000014    
        1012  -1.68888891      0.902222216    
        1014  -1.66666663      0.891111135    
        1016  -1.75111115      0.917777777    
        1018  -1.70666671      0.893333316    
        1020  -1.69777775      0.906666696    
        1022  -1.67999995      0.895555556    
        1024  -1.65333331      0.875555575    
        1026  -1.69777775      0.902222216    
        1028  -1.75999999      0.911111116    
        1030  -1.75111115      0.920000017    
        1032  -1.65777779      0.893333316    
        1034  -1.68888891      0.886666656    
        1036  -1.74222219      0.904444456    
        1038  -1.66666663      0.873333335    
        1040  -1.63555551      0.862222195    
        1042  -1.74666667      0.895555556    
        1044  -1.68444443      0.884444416    
        1046  -1.75111115      0.899999976    
        1048  -1.69777775      0.886666656    
        1050  -1.59555554      0.837777793    
        1052  -1.64444447      0.862222195    
        1054  -1.64888895      0.875555575    
        1056  -1.57333338      0.831111133    
        1058  -1.65777779      0.862222195    
        1060  -1.64888895      0.839999974    
        1062  -1.56444442      0.793333352    
        1064  -1.53777778      0.782222211    
        1066  -1.49777782      0.735555530    
        1068  -1.50666666      0.702222228    
        1070  -1.54222226      0.735555530    
        1072  -1.65333331      0.740000010    
        1074  -1.68444443      0.804444432    
        1076  -1.60444450      0.777777791    
        1078  -1.61777782      0.791111112    
        1080  -1.62666667      0.819999993    
        1082  -1.71555555      0.875555575    
        1084  -1.72000003      0.884444416    
        1086  -1.62222219      0.855555534    
        1088  -1.78222227      0.928888917    
        1090  -1.69777775      0.908888876    
        1092  -1.67555559      0.891111135    
        1094  -1.67999995      0.888888896    
        1096  -1.72000003      0.891111135    
        1098  -1.70666671      0.893333316    
        1100  -1.63555551      0.871111095    
        1102  -1.71111107      0.902222216    
        1104  -1.63555551      0.875555575    
        1106  -1.68444443      0.886666656    
        1108  -1.66666663      0.884444416    
        1110  -1.70222223      0.904444456    
        1112  -1.64444447      0.879999995    
        1114  -1.66666663      0.882222235    
        1116  -1.66222227      0.899999976    
        1118  -1.67999995      0.906666696    
        1120  -1.75555551      0.922222197    
        1122  -1.68444443      0.902222216    
        1124  -1.76888883      0.928888917    
        1126  -1.69333339      0.893333316    
        1128  -1.71555555      0.920000017    
        1130  -1.71111107      0.911111116    
        1132  -1.72888887      0.913333356    
        1134  -1.63555551      0.866666675    
        1136  -1.68888891      0.897777796    
        1138  -1.64444447      0.855555534    
        1140  -1.67111111      0.888888896    
        1142  -1.70666671      0.899999976    
        1144  -1.62222219      0.875555575    
        1146  -1.59555554      0.860000014    
        1148  -1.57777774      0.846666694    
        1150  -1.54666662      0.837777793    
        1152  -1.63555551      0.862222195    
        1154  -1.62666667      0.873333335    
        1156  -1.74222219      0.911111116    
        1158  -1.67111111      0.873333335    
        1160  -1.56444442      0.815555573    
        1162  -1.60888886      0.846666694    
        1164  -1.56888890      0.817777753    
        1166  -1.55555558      0.831111133    
        1168  -1.67555559      0.882222235    
        1170  -1.74666667      0.906666696    
        1172  -1.67999995      0.899999976    
        1174  -1.64444447      0.875555575    
        1176  -1.69333339      0.906666696    
        1178  -1.67555559      0.899999976    
        1180  -1.60888886      0.866666675    
        1182  -1.72888887      0.911111116    
        1184  -1.73777783      0.920000017    
        1186  -1.58666670      0.839999974    
        1188  -1.59555554      0.848888874    
        1190  -1.62666667      0.844444454    
        1192  -1.62222219      0.848888874    
        1194  -1.65777779      0.895555556    
        1196  -1.71555555      0.902222216    
        1198  -1.65777779      0.882222235    
        1200  -1.65333331      0.884444416    
        1202  -1.72888887      0.911111116    
        1204  -1.75111115      0.904444456    
        1206  -1.70666671      0.897777796    
        1208  -1.81777775      0.951111138    
        1210  -1.79555559      0.933333337    
        1212  -1.77333331      0.931111097    
        1214  -1.64444447      0.877777755    
        1216  -1.66666663      0.877777755    
        1218  -1.67111111      0.868888915    
        1220  -1.72000003      0.897777796    
        1222  -1.66222227      0.855555534    
        1224  -1.63555551      0.866666675    
        1226  -1.66666663      0.851111114    
        1228  -1.75111115      0.908888876    
        1230  -1.69333339      0.895555556    
        1232  -1.59555554      0.864444435    
        1234  -1.72888887      0.897777796    
        1236  -1.69777775      0.873333335    
        1238  -1.73777783      0.904444456    
        1240  -1.64888895      0.879999995    
        1242  -1.68888891      0.875555575    
        1244  -1.74666667      0.904444456    
        1246  -1.61333334      0.875555575    
        1248  -1.69333339      0.893333316    
        1250  -1.76444447      0.924444437    
        1252  -1.81777775      0.942222238    
        1254  -1.68888891      0.897777796    
        1256  -1.59111106      0.853333354    
        1258  -1.55111110      0.822222233    
        1260  -1.56444442      0.824444473    
        1262  -1.58222222      0.860000014    
        1264  -1.67555559      0.899999976    
        1266  -1.68444443      0.884444416    
        1268  -1.65333331      0.866666675    
        1270  -1.75999999      0.917777777    
        1272  -1.72000003      0.922222197    
        1274  -1.74666667      0.922222197    
        1276  -1.75555551      0.917777777    
        1278  -1.79111111      0.935555577    
        1280  -1.72888887      0.915555537    
        1282  -1.79111111      0.933333337    
        1284  -1.73333335      0.899999976    
        1286  -1.72444439      0.895555556    
        1288  -1.67999995      0.888888896    
        1290  -1.67111111      0.866666675    
        1292  -1.79111111      0.926666677    
        1294  -1.72000003      0.917777777    
        1296  -1.67555559      0.884444416    
        1298  -1.68444443      0.875555575    
        1300  -1.67111111      0.868888915    
        1302  -1.60888886      0.853333354    
        1304  -1.73333335      0.893333316    
        1306  -1.68888891      0.875555575    
        1308  -1.65777779      0.851111114    
        1310  -1.72888887      0.895555556    
        1312  -1.67111111      0.855555534    
        1314  -1.68888891      0.826666653    
        1316  -1.64444447      0.813333333    
        1318  -1.59555554      0.797777772    
        1320  -1.62222219      0.842222214    
        1322  -1.75555551      0.917777777    
        1324  -1.69777775      0.899999976    
        1326  -1.67555559      0.879999995    
        1328  -1.57333338      0.844444454    
        1330  -1.62222219      0.871111095    
        1332  -1.64444447      0.875555575    
        1334  -1.67999995      0.884444416    
        1336  -1.72888887      0.922222197    
        1338  -1.61333334      0.868888915    
        1340  -1.66222227      0.864444435    
        1342  -1.72888887      0.875555575    
        1344  -1.70222223      0.879999995    
        1346  -1.64444447      0.866666675    
        1348  -1.63111115      0.862222195    
        1350  -1.61777782      0.848888874    
        1352  -1.73333335      0.899999976    
        1354  -1.71555555      0.882222235    
        1356  -1.62666667      0.851111114    
        1358  -1.53777778      0.831111133    
        1360  -1.56444442      0.828888893    
        1362  -1.64888895      0.860000014    
        1364  -1.61777782      0.846666694    
        1366  -1.67555559      0.873333335    
        1368  -1.67111111      0.864444435    
        1370  -1.68888891      0.871111095    
        1372  -1.65777779      0.833333313    
        1374  -1.55555558      0.811111093    
        1376  -1.59555554      0.800000012    
        1378  -1.56444442      0.802222252    
        1380  -1.47111106      0.782222211    
        1382  -1.49777782      0.791111112    
        1384  -1.58222222      0.839999974    
        1386  -1.64444447      0.873333335    
        1388  -1.58222222      0.828888893    
        1390  -1.66222227      0.875555575    
        1392  -1.66666663      0.877777755    
        1394  -1.63999999      0.835555553    
        1396  -1.54666662      0.773333311    
        1398  -1.67555559      0.833333313    
        1400  -1.56444442      0.819999993    
        1402  -1.68888891      0.826666653    
        1404  -1.62222219      0.795555532    
        1406  -1.55555558      0.797777772    
        1408  -1.54222226      0.775555551    
        1410  -1.56888890      0.764444470    
        1412  -1.66222227      0.782222211    
        1414  -1.55111110      0.731111109    
        1416  -1.53333330      0.708888888    
        1418  -1.54222226      0.724444449    
        1420  -1.48444450      0.717777789    
        1422  -1.60444450      0.768888891    
        1424  -1.58666670      0.793333352    
        1426  -1.53777778      0.800000012    
        1428  -1.62222219      0.839999974    
        1430  -1.64888895      0.844444454    
        1432  -1.71555555      0.875555575    
        1434  -1.75555551      0.873333335    
        1436  -1.68444443      0.884444416    
        1438  -1.70222223      0.895555556    
        1440  -1.66222227      0.882222235    
        1442  -1.58222222      0.822222233    
        1444  -1.57777774      0.862222195    
        1446  -1.59111106      0.860000014    
        1448  -1.56888890      0.871111095    
        1450  -1.74666667      0.924444437    
        1452  -1.68444443      0.895555556    
        1454  -1.61777782      0.864444435    
        1456  -1.72444439      0.897777796    
        1458  -1.65333331      0.873333335    
        1460  -1.69333339      0.897777796    
        1462  -1.67555559      0.888888896    
        1464  -1.71111107      0.899999976    
        1466  -1.65777779      0.871111095    
        1468  -1.62666667      0.871111095    
        1470  -1.60888886      0.851111114    
        1472  -1.67111111      0.873333335    
        1474  -1.65777779      0.860000014    
        1476  -1.63111115      0.819999993    
        1478  -1.62666667      0.824444473    
        1480  -1.59555554      0.808888912    
        1482  -1.68444443      0.895555556    
        1484  -1.69777775      0.899999976    
        1486  -1.62666667      0.860000014    
        1488  -1.69777775      0.873333335    
        1490  -1.75555551      0.915555537    
        1492  -1.74222219      0.920000017    
        1494  -1.67111111      0.891111135    
        1496  -1.72444439      0.904444456    
        1498  -1.68444443      0.877777755    
        1500  -1.65333331      0.866666675    
        1502  -1.62666667      0.857777774    
        1504  -1.69333339      0.873333335    
        1506  -1.65777779      0.837777793    
        1508  -1.59111106      0.844444454    
        1510  -1.61777782      0.848888874    
        1512  -1.60888886      0.844444454    
        1514  -1.61777782      0.855555534    
        1516  -1.69333339      0.891111135    
        1518  -1.65333331      0.873333335    
        1520  -1.73333335      0.899999976    
        1522  -1.75111115      0.926666677    
        1524  -1.67111111      0.866666675    
        1526  -1.70666671      0.895555556    
        1528  -1.63555551      0.868888915    
