 # Cycle    Energy/N    Magnetization/N
           2 -0.919600010      -9.99999978E-03
         746  -1.70720005      -2.40000011E-03
         748  -1.71800005      -1.08000003E-02
         750  -1.69360006      -1.20000001E-02
         752  -1.69920003       4.39999998E-03
         754  -1.69799995      -3.80000006E-03
         756  -1.70079994      -1.57999992E-02
         758  -1.69159997      -9.60000046E-03
         760  -1.70679998      -1.02000004E-02
         762  -1.70519996      -1.08000003E-02
         764  -1.71800005       4.99999989E-03
         766  -1.71120000       5.40000014E-03
         768  -1.72640002      -4.60000010E-03
         770  -1.72839999       4.99999989E-03
         772  -1.72839999       4.39999998E-03
         774  -1.71920002      -6.00000028E-04
         776  -1.69239998      -1.39999995E-03
         778  -1.70319998       1.36000002E-02
         780  -1.69200003       1.94000006E-02
         782  -1.69280005       1.40000004E-02
         784  -1.68760002       2.06000004E-02
         786  -1.69879997       2.04000007E-02
         788  -1.70959997       1.46000003E-02
         790  -1.71239996       1.84000004E-02
         792  -1.71480000       2.97999997E-02
         794  -1.69879997       3.02000009E-02
         796  -1.71039999       3.31999995E-02
         798  -1.70879996       2.84000002E-02
         800  -1.70200002       1.77999996E-02
         802  -1.70879996       2.21999995E-02
         804  -1.71759999       2.01999992E-02
         806  -1.73440003       3.06000002E-02
         808  -1.71360004       3.42000015E-02
         810  -1.70480001       2.62000002E-02
         812  -1.71759999       1.18000004E-02
         814  -1.72239995       6.59999996E-03
         816  -1.70840001       7.40000000E-03
         818  -1.70599997       1.02000004E-02
         820  -1.69760001       1.05999997E-02
         822  -1.70920002       2.08000001E-02
         824  -1.72520006       1.99999996E-02
         826  -1.71360004       2.84000002E-02
         828  -1.71319997       1.79999992E-02
         830  -1.72080004       8.39999970E-03
         832  -1.71599996       1.14000002E-02
         834  -1.73520005       5.79999993E-03
         836  -1.72000003      -8.00000038E-03
         838  -1.71399999       5.59999980E-03
         840  -1.73280001      -1.20000006E-03
         842  -1.70920002       4.99999989E-03
         844  -1.69840002       1.59999996E-03
         846  -1.70599997       2.19999999E-03
         848  -1.72160006       3.80000006E-03
         850  -1.72200000       3.19999992E-03
         852  -1.71840000       3.19999992E-03
         854  -1.72800004       3.20000015E-02
         856  -1.72080004       1.40000004E-02
         858  -1.70920002       1.33999996E-02
         860  -1.70879996       2.04000007E-02
         862  -1.72360003       2.60000005E-02
         864  -1.72000003       2.74000000E-02
         866  -1.71039999       2.87999995E-02
         868  -1.69760001       2.06000004E-02
         870  -1.68560004       2.48000007E-02
         872  -1.69640005       4.23999988E-02
         874  -1.70400000       4.28000018E-02
         876  -1.70560002       3.73999998E-02
         878  -1.70400000       4.17999998E-02
         880  -1.70120001       2.70000007E-02
         882  -1.70640004       7.19999988E-03
         884  -1.70079994      -1.79999997E-03
         886  -1.71679997      -3.80000006E-03
         888  -1.70480001      -4.60000010E-03
         890  -1.71599996      -1.39999995E-03
         892  -1.70760000       3.99999990E-04
         894  -1.69519997       3.00000003E-03
         896  -1.72160006       4.80000023E-03
         898  -1.70039999       7.19999988E-03
         900  -1.69599998       0.00000000    
         902  -1.69799995       8.00000038E-03
         904  -1.68879998      -1.79999997E-03
         906  -1.70879996      -1.15999999E-02
         908  -1.70239997      -8.99999961E-03
         910  -1.70879996      -7.40000000E-03
         912  -1.70519996       3.80000006E-03
         914  -1.69079995       6.80000009E-03
         916  -1.69079995       6.20000018E-03
         918  -1.69360006       1.33999996E-02
         920  -1.69599998       1.96000002E-02
         922  -1.71759999       2.26000007E-02
         924  -1.70400000       2.74000000E-02
         926  -1.68280005       1.55999996E-02
