 # Cycle    Energy/N    Magnetization/N
         778  -1.84000003     -0.959999979    
         780  -1.79999995     -0.939999998    
         782  -1.79999995     -0.920000017    
         784  -2.00000000      -1.00000000    
         786  -1.84000003     -0.939999998    
         788  -1.84000003     -0.959999979    
         790  -1.60000002     -0.899999976    
         792  -1.67999995     -0.920000017    
         794  -1.48000002     -0.839999974    
         796  -1.24000001     -0.720000029    
         798  -1.55999994     -0.839999974    
         800  -1.75999999     -0.920000017    
         802  -1.88000000     -0.959999979    
         804  -1.84000003     -0.959999979    
         806  -1.84000003     -0.959999979    
         808  -1.39999998     -0.839999974    
         810  -1.79999995     -0.939999998    
         812  -1.67999995     -0.860000014    
         814  -1.91999996     -0.980000019    
         816  -1.84000003     -0.959999979    
         818  -1.75999999     -0.939999998    
         820  -1.72000003     -0.899999976    
         822  -1.48000002     -0.759999990    
         824  -1.36000001     -0.759999990    
         826  -1.36000001     -0.759999990    
         828  -1.24000001     -0.639999986    
         830  -1.12000000     -0.639999986    
         832  -1.32000005     -0.740000010    
         834  -1.27999997     -0.759999990    
         836  -1.75999999     -0.939999998    
         838  -1.79999995     -0.939999998    
         840  -1.63999999     -0.899999976    
         842  -1.60000002     -0.879999995    
         844  -1.55999994     -0.839999974    
         846  -1.67999995     -0.879999995    
         848  -1.91999996     -0.980000019    
         850  -1.91999996     -0.980000019    
         852  -2.00000000      -1.00000000    
         854  -1.91999996     -0.980000019    
         856  -1.79999995     -0.939999998    
         858  -1.27999997     -0.740000010    
         860  -1.63999999     -0.879999995    
         862  -1.39999998     -0.740000010    
         864  -1.39999998     -0.800000012    
         866  -1.44000006     -0.759999990    
         868  -1.84000003     -0.959999979    
         870  -1.84000003     -0.959999979    
         872  -2.00000000      -1.00000000    
         874  -1.84000003     -0.959999979    
         876  -2.00000000      -1.00000000    
         878  -1.67999995     -0.920000017    
         880  -1.75999999     -0.939999998    
         882  -1.79999995     -0.939999998    
         884  -1.79999995     -0.939999998    
         886  -1.72000003     -0.920000017    
         888  -1.75999999     -0.939999998    
         890  -1.72000003     -0.899999976    
         892  -1.51999998     -0.800000012    
         894  -1.75999999     -0.920000017    
         896  -1.72000003     -0.920000017    
         898  -1.79999995     -0.939999998    
         900  -1.88000000     -0.959999979    
         902  -1.79999995     -0.939999998    
         904  -1.88000000     -0.959999979    
         906  -1.55999994     -0.839999974    
         908  -1.51999998     -0.860000014    
         910  -1.60000002     -0.860000014    
         912  -1.51999998     -0.860000014    
         914  -2.00000000      -1.00000000    
         916  -1.84000003     -0.959999979    
         918  -1.84000003     -0.959999979    
         920  -1.32000005     -0.740000010    
         922  -1.15999997     -0.579999983    
         924  -1.63999999     -0.860000014    
         926  -1.79999995     -0.939999998    
         928  -1.84000003     -0.959999979    
         930  -1.51999998     -0.839999974    
         932  -1.91999996     -0.980000019    
         934  -1.79999995     -0.939999998    
         936  -1.48000002     -0.819999993    
         938  -1.67999995     -0.899999976    
         940  -1.88000000     -0.959999979    
         942  -1.91999996     -0.980000019    
         944  -1.91999996     -0.980000019    
         946  -1.79999995     -0.939999998    
         948  -1.75999999     -0.939999998    
         950  -1.36000001     -0.779999971    
         952  -1.55999994     -0.839999974    
         954  -1.51999998     -0.819999993    
         956  -1.51999998     -0.800000012    
         958  -1.44000006     -0.800000012    
         960  -1.32000005     -0.779999971    
         962  -1.51999998     -0.839999974    
         964  -1.72000003     -0.899999976    
         966  -1.51999998     -0.860000014    
         968  -1.75999999     -0.939999998    
         970  -1.36000001     -0.779999971    
         972  -1.75999999     -0.879999995    
         974  -1.91999996     -0.980000019    
         976  -2.00000000      -1.00000000    
         978  -1.79999995     -0.939999998    
         980  -1.84000003     -0.959999979    
         982  -1.63999999     -0.879999995    
         984  -1.79999995     -0.939999998    
         986  -1.91999996     -0.980000019    
         988  -1.60000002     -0.879999995    
         990  -1.79999995     -0.939999998    
         992  -1.91999996     -0.980000019    
         994  -2.00000000      -1.00000000    
         996  -1.91999996     -0.980000019    
         998  -1.75999999     -0.939999998    
        1000  -1.84000003     -0.959999979    
        1002  -1.72000003     -0.920000017    
        1004  -1.63999999     -0.899999976    
        1006  -1.88000000     -0.959999979    
        1008  -1.84000003     -0.959999979    
        1010  -1.60000002     -0.860000014    
        1012  -1.67999995     -0.860000014    
        1014  -1.75999999     -0.920000017    
        1016  -1.84000003     -0.959999979    
        1018  -1.67999995     -0.899999976    
        1020  -1.79999995     -0.920000017    
        1022  -1.84000003     -0.939999998    
        1024  -1.51999998     -0.800000012    
        1026  -1.91999996     -0.980000019    
        1028  -1.88000000     -0.959999979    
        1030  -1.88000000     -0.959999979    
        1032  -1.84000003     -0.959999979    
        1034  -1.51999998     -0.839999974    
        1036  -1.60000002     -0.879999995    
        1038  -1.48000002     -0.839999974    
        1040  -1.67999995     -0.899999976    
        1042  -1.84000003     -0.959999979    
        1044  -1.79999995     -0.939999998    
        1046  -1.84000003     -0.939999998    
        1048  -1.60000002     -0.899999976    
        1050  -1.27999997     -0.759999990    
        1052  -1.79999995     -0.939999998    
        1054  -1.91999996     -0.980000019    
        1056  -1.67999995     -0.879999995    
        1058  -1.79999995     -0.939999998    
        1060  -1.91999996     -0.980000019    
        1062  -1.91999996     -0.980000019    
        1064  -1.91999996     -0.980000019    
        1066  -1.91999996     -0.980000019    
        1068  -1.67999995     -0.920000017    
        1070  -1.88000000     -0.959999979    
        1072  -1.84000003     -0.959999979    
        1074  -1.79999995     -0.939999998    
        1076  -1.91999996     -0.980000019    
        1078  -1.72000003     -0.920000017    
        1080  -1.60000002     -0.879999995    
        1082  -1.88000000     -0.959999979    
        1084  -1.91999996     -0.980000019    
        1086  -2.00000000      -1.00000000    
        1088  -1.91999996     -0.980000019    
        1090  -1.91999996     -0.980000019    
