#  i    Total    Potential    Kinetic    Temperature   Pressure
 282  -0.72806   -2.97806       2.25        1.5   0.450778
 283  -0.725483   -2.97548       2.25        1.5   0.449008
 284  -0.722879   -2.97288       2.25        1.5   0.447592
 285  -0.720237   -2.97024       2.25        1.5   0.446238
 286  -0.717546   -2.96755       2.25        1.5   0.444885
 287  -0.714798    -2.9648       2.25        1.5   0.443586
 288  -0.711986   -2.96199       2.25        1.5   0.442391
 289  -0.709102    -2.9591       2.25        1.5   0.441619
 290  -0.706143   -2.95614       2.25        1.5   0.440967
 291  -0.703106   -2.95311       2.25        1.5   0.440324
 292  -0.69999   -2.94999       2.25        1.5   0.440075
 293  -0.696797    -2.9468       2.25        1.5   0.439752
 294  -0.693529   -2.94353       2.25        1.5   0.439659
 295  -0.690191   -2.94019       2.25        1.5   0.439629
 296  -0.686793   -2.93679       2.25        1.5   0.439801
 297  -0.683343   -2.93334       2.25        1.5   0.439886
 298  -0.679855   -2.92986       2.25        1.5   0.440325
 299  -0.676344   -2.92634       2.25        1.5    0.44055
 300  -0.672823   -2.92282       2.25        1.5   0.440882
 301  -0.669311   -2.91931       2.25        1.5   0.441329
 302  -0.665825   -2.91582       2.25        1.5   0.441588
 303  -0.662383   -2.91238       2.25        1.5    0.44182
 304  -0.659002     -2.909       2.25        1.5   0.441915
 305   -0.6557    -2.9057       2.25        1.5   0.442035
 306  -0.652495    -2.9025       2.25        1.5   0.442071
 307  -0.649404    -2.8994       2.25        1.5   0.441685
 308  -0.646439   -2.89644       2.25        1.5   0.441278
 309  -0.643614   -2.89361       2.25        1.5   0.440518
 310  -0.640938   -2.89094       2.25        1.5   0.439658
 311  -0.63842   -2.88842       2.25        1.5   0.438416
 312  -0.636063   -2.88606       2.25        1.5   0.436937
 313  -0.633867   -2.88387       2.25        1.5   0.435299
 314  -0.631832   -2.88183       2.25        1.5   0.433349
 315  -0.629953   -2.87995       2.25        1.5   0.431134
 316  -0.62822   -2.87822       2.25        1.5    0.42867
 317  -0.626626   -2.87663       2.25        1.5   0.426126
 318  -0.625158   -2.87516       2.25        1.5    0.42314
 319   -0.6238    -2.8738       2.25        1.5   0.419928
 320  -0.622539   -2.87254       2.25        1.5   0.416596
 321  -0.621358   -2.87136       2.25        1.5   0.413095
 322  -0.62024   -2.87024       2.25        1.5   0.409725
 323  -0.61917   -2.86917       2.25        1.5   0.406129
