#  i    Total    Potential    Kinetic    Temperature   Pressure
 589  -0.382891   -2.49433    2.11144    1.40763   0.364049
 590  -0.421277   -2.49339    2.07211    1.38141   0.355319
 591  -0.419467   -2.49247      2.073      1.382   0.357159
 592  -0.425651   -2.49157    2.06592    1.37728    0.35684
 593  -0.413482   -2.49069    2.07721    1.38481   0.361344
 594  -0.397409   -2.48984    2.09243    1.39495   0.366823
 595  -0.405618     -2.489    2.08338    1.38892   0.365884
 596  -0.375427   -2.48818    2.11275     1.4085   0.375079
 597  -0.403812   -2.48737    2.08356    1.38904   0.368482
 598  -0.382154   -2.48659    2.10444    1.40296   0.375233
 599  -0.381231   -2.48583     2.1046    1.40306   0.376466
 600  -0.35402   -2.48509    2.13107    1.42071   0.384637
 601  -0.333236   -2.48437    2.15113    1.43409   0.391069
 602  -0.322565   -2.48366     2.1611    1.44073   0.394433
 603  -0.31596   -2.48298    2.16702    1.44468   0.396768
 604  -0.280131   -2.48231    2.20218    1.46812   0.407066
 605  -0.216765   -2.48166    2.26489    1.50993   0.424574
 606  -0.192091     -2.481    2.28891    1.52594   0.431573
 607  -0.214165   -2.48035    2.26619    1.51079   0.426079
